uid,icefall_name,ice_lat,ice_lon,station_id,station_name,source,dist_km,icefall_elev_m,elev_diff_m,has_temp,has_precip,has_rh_or_td
46,Forsttechnik,47.01761,10.99537,SGIG2,Giggijoch,LWD,5.4149235498504575,1280.5679931640625,-1251.4320068359375,TRUE,FALSE,TRUE
21,Mixed Klettergebiet,47.0588395239538,10.96612868290162,LBRE2,Breiter Grieskogel Schneestation,LWD,5.42071049095133,1283.89697265625,-1101.10302734375,TRUE,FALSE,TRUE
22,Nordstau,47.0588395239538,10.96612868290162,LBRE2,Breiter Grieskogel Schneestation,LWD,5.42071049095133,1283.89697265625,-1101.10302734375,TRUE,FALSE,TRUE
23,Pokerface,47.0588395239538,10.96612868290162,LBRE2,Breiter Grieskogel Schneestation,LWD,5.42071049095133,1283.89697265625,-1101.10302734375,TRUE,FALSE,TRUE
24,New Life,47.0588395239538,10.96612868290162,LBRE2,Breiter Grieskogel Schneestation,LWD,5.42071049095133,1283.89697265625,-1101.10302734375,TRUE,FALSE,TRUE
1,Mannerschnitte,47.1878530948798,10.9144864657693,136,Umhausen,GeoSphere,5.527938289472713,946.551025390625,-88.448974609375,TRUE,TRUE,TRUE
47,Milchschnitte,47.1878530948798,10.9144864657693,136,Umhausen,GeoSphere,5.527938289472713,946.551025390625,-88.448974609375,TRUE,TRUE,TRUE
5,Mannerschnitte,47.1878530948798,10.9144864657693,136,Umhausen,GeoSphere,5.527938289472713,946.551025390625,-88.448974609375,TRUE,TRUE,TRUE
29,Taufenbachfall (ohne Vorhang),47.0218328378677,10.99564763968872,SGIG2,Giggijoch,LWD,5.856953138831921,1228.572021484375,-1303.427978515625,TRUE,FALSE,TRUE
30,Mühlgartenfall / Betonwerks√§ule,47.0218328378677,10.99564763968872,SGIG2,Giggijoch,LWD,5.856953138831921,1228.572021484375,-1303.427978515625,TRUE,FALSE,TRUE
31,Elfenbein,47.0218328378677,10.99564763968872,SGIG2,Giggijoch,LWD,5.856953138831921,1228.572021484375,-1303.427978515625,TRUE,FALSE,TRUE
43,Mammut Lex,47.0218328378677,10.99564763968872,SGIG2,Giggijoch,LWD,5.856953138831921,1228.572021484375,-1303.427978515625,TRUE,FALSE,TRUE
15,Triple Direkt,47.08694130389161,10.94041112688912,136,Umhausen,GeoSphere,5.879222753924952,1278.708984375,243.708984375,TRUE,TRUE,TRUE
37,Klettergarten Oberried - Eispark,47.0764601846772,10.94993127305052,LBRE2,Breiter Grieskogel Schneestation,LWD,5.9302526141952505,1173.43505859375,-1211.56494140625,TRUE,FALSE,TRUE
25,Via Ali,47.0604785852461,10.94324337917322,SLAG1,Agetwoad,LWD,6.2260035617797795,2002.720947265625,-327.279052734375,TRUE,FALSE,TRUE
16,Guillotine,47.0837119292643,10.94431400299072,LBRE1,Breiter Grieskogel Windstation,LWD,6.271028855599562,1177.373046875,-2104.626953125,TRUE,FALSE,TRUE
28,Waldesruh Ralley - Bichlfall,47.0279739096162,10.9950133810757,SGIG2,Giggijoch,LWD,6.480624492844334,1249.0179443359375,-1282.9820556640625,TRUE,FALSE,TRUE
